Disease,Question,medical_specialty,severity
Giun Xoắn,"Tôi cảm thấy ngứa ngáy, nổi mề đay và khó thở. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Giun Xoắn,"Tôi bị đau bụng, buồn nôn và nôn ra dịch mật. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Giun Xoắn,"Tôi cảm thấy mệt mỏi, suy nhược và da dẻ xanh xao. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Giun Xoắn,"Tôi bị đau bụng, tiêu chảy và sốt cao liên tục. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Giãn Phế Quản,"Tôi hay ho và khạc đờm kéo dài nhiều năm, đờm có màu vàng hoặc xanh. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,"Tôi thường xuyên bị ho, đặc biệt là vào buổi sáng, và khạc ra đờm đặc. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,"Tôi bị ho khan kéo dài và khó thở, nhất là khi gắng sức. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,Tôi hay bị viêm phổi tái đi tái lại và ho có đờm. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,"Tôi bị ho dai dẳng, khạc đờm màu vàng hoặc xanh, và thỉnh thoảng có lẫn máu. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,"Tôi bị ho khan, khó thở, và đau ngực khi hít thở sâu. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,"Tôi bị ho kéo dài, kèm theo sốt và ớn lạnh. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,Tôi bị ho ra máu và cảm thấy mệt mỏi. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,Tôi bị khó thở khi gắng sức và hay bị khò khè. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,"Tôi bị ho dai dẳng, kèm theo sổ mũi và nghẹt mũi. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,Tôi bị ho nhiều về đêm và khạc đờm đặc vào buổi sáng. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,Tôi bị ho khan kéo dài và cảm thấy ngứa ngáy ở cổ họng. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,Tôi bị ho ra máu và cảm thấy đau rát ở ngực. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,"Tôi bị khó thở, mệt mỏi và sụt cân không rõ nguyên nhân. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,Tôi bị ho dai dẳng và cảm thấy tức ngực. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,"Tôi bị ho kéo dài, kèm theo sốt và đau nhức cơ thể. Tôi có thể đang bị bệnh gì?",Respiratory,
Giãn Phế Quản,Tôi bị khó thở khi nằm xuống và hay bị thức giấc vì ho. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,Tôi bị ho ra đờm có mùi hôi và cảm thấy mệt mỏi. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,Tôi bị ho dai dẳng và cảm thấy khó chịu ở vùng ngực. Tôi có thể đang bị bệnh gì?,Respiratory,
Giãn Phế Quản,Tôi bị ho kéo dài và cảm thấy khó thở khi leo cầu thang. Tôi có thể đang bị bệnh gì?,Respiratory,
Hen Suyễn,"Tôi hiện đang có các triệu chứng như ho khan, khó thở, đặc biệt là vào ban đêm hoặc khi thời tiết thay đổi. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay thở khò khè, tức ngực và cảm thấy khó thở khi vận động mạnh. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi đang cảm thấy khó thở, ho dai dẳng về đêm và hay bị cảm lạnh. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay bị hắt hơi, sổ mũi, tức ngực và khó thở. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi thường xuyên bị ho, khó thở và phải dùng thuốc cắt cơn. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hiện đang có các triệu chứng như ho có đờm, khó thở tăng dần và phải ngồi chống tay để thở. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi đang cảm thấy khó thở, tức ngực và ho ra đờm đặc quánh sau khi hết cơn khó thở. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay bị khó thở, tức ngực và ho khi tiếp xúc với bụi bẩn hoặc lông thú cưng. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hiện đang có các triệu chứng như thở khò khè, ho và khó thở, đặc biệt là khi tập thể dục. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi đang cảm thấy khó thở, nặng ngực và hay bị ho về đêm. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay bị khó thở khi ngủ, kèm theo ho và thở khò khè. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hiện đang có các triệu chứng như ho, thở khò khè và khó thở nặng hơn khi bị cảm lạnh. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi đang cảm thấy khó thở, tức ngực và phải sử dụng thuốc cắt cơn thường xuyên hơn. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay bị ho, khò khè và khó thở khi làm việc trong môi trường có nhiều hóa chất. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hiện đang có các triệu chứng như khó thở, tức ngực khi tiếp xúc với phấn hoa. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi đang cảm thấy khó thở và ho nhiều hơn, các triệu chứng xuất hiện thường xuyên và khó chịu hơn. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay bị khó thở, phải sử dụng máy đo lưu lượng đỉnh để kiểm tra chức năng phổi. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hiện đang có các triệu chứng như ho, khò khè và khó thở, đặc biệt là khi thời tiết lạnh và khô. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi đang cảm thấy khó thở, tức ngực và ho sau khi tiếp xúc với bào tử nấm mốc. Tôi có thể đang bị bệnh gì?",Respiratory,
Hen Suyễn,"Tôi hay bị khó thở, tức ngực và ho do dị ứng với chất thải của gián. Tôi có thể đang bị bệnh gì?",Respiratory,
Herpes Sinh Dục,Tôi hiện đang có các triệu chứng như mụn rộp ở vùng âm đạo và đau nhức cơ thể. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang cảm thấy ngứa ran ở vùng da xung quanh hậu môn và xuất hiện mụn nước. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hay bị sốt và sưng hạch bạch huyết ở vùng bẹn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang có mụn rộp trên dương vật và mông. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hiện đang có các triệu chứng như mụn nước ở vùng hậu môn và đau đầu. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang cảm thấy ngứa ngáy ở vùng kín và xuất hiện mụn nước. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hay bị sốt và mụn rộp xuất hiện trong miệng. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang có mụn nước ở bìu và vùng da xung quanh hậu môn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hiện đang có các triệu chứng như mụn rộp ở vùng âm đạo và mệt mỏi. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang cảm thấy ngứa ran ở vùng kín và xuất hiện vết loét. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hay bị sưng hạch bạch huyết và mụn rộp xuất hiện trên môi. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang có mụn nước ở dương vật và vùng da lân cận. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hiện đang có các triệu chứng như mụn rộp ở vùng hậu môn và chán ăn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang cảm thấy ngứa ngáy ở mông và xuất hiện mụn nước. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hay bị đau nhức cơ thể và mụn rộp xuất hiện trên mặt. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang có mụn nước ở bìu và vùng da gần hậu môn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hiện đang có các triệu chứng như mụn rộp ở vùng âm đạo và sốt. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang cảm thấy ngứa ran ở vùng kín và xuất hiện vảy ở vết loét. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi hay bị sưng hạch bạch huyết và mụn rộp xuất hiện trên môi. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes Sinh Dục,Tôi đang có mụn nước ở dương vật và mông. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hiện đang có các triệu chứng như sưng hạch bạch huyết và đau nhức toàn thân. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang cảm thấy mệt mỏi và chán ăn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hay bị sốt và ngứa ran ở một số vùng da. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang có mụn nước ở bộ phận sinh dục và cảm thấy đau buốt khi đi tiểu. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hiện đang có các triệu chứng như đau đầu và xuất hiện các mụn nước nhỏ. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang cảm thấy mệt mỏi và xuất hiện các mảng mụn nước. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hay bị sốt và sưng hạch bạch huyết. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang có mụn nước ở môi và cảm thấy đau rát. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hiện đang có các triệu chứng như đau nhức toàn thân và ngứa ran ở da. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang cảm thấy mệt mỏi và xuất hiện các cụm mụn nước. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hay bị sốt và chán ăn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang có mụn nước ở bộ phận sinh dục và cảm thấy ngứa ngáy. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hiện đang có các triệu chứng như đau đầu và xuất hiện vảy ở vết loét. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang cảm thấy mệt mỏi và mụn nước xuất hiện ít hơn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hay bị sưng hạch bạch huyết và cảm giác đau đớn giảm bớt. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang có mụn nước ở môi và lành nhanh chóng. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hiện đang có các triệu chứng như đau nhức toàn thân và mụn nước lành sau vài ngày. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang cảm thấy mệt mỏi và xuất hiện ít nốt mụn nước hơn. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi hay bị sốt và mụn nước đóng vảy. Tôi có thể đang bị bệnh gì?,Dermatology,
Herpes,Tôi đang có mụn nước ở bộ phận sinh dục và giảm cảm giác đau buốt. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,"Tôi thấy xuất hiện các nốt sùi, không đau ở bộ phận sinh dục. Tôi có thể đang bị bệnh gì?",Dermatology,
HPV,Tôi hiện đang có các triệu chứng như ngứa ngáy và nổi mụn cóc ở vùng kín. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi đang cảm thấy khó chịu vì các nốt sần sùi trên tay. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hay bị đau và chảy máu ở vùng nổi mụn cóc. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hiện đang có các triệu chứng như nổi mụn cóc ở lòng bàn chân và gây đau khi đi lại. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi đang cảm thấy ngứa ngáy vì các nốt mụn cóc phẳng trên mặt. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hay bị nổi mụn cóc ở vùng râu và gây mất thẩm mỹ. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hiện đang có các triệu chứng như nổi mụn cóc ở hậu môn và gây khó chịu. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi đang cảm thấy lo lắng vì các nốt mụn cóc lan rộng ra nhiều vùng trên cơ thể. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hay bị tái phát mụn cóc sau khi điều trị. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hiện đang có các triệu chứng như nổi mụn cóc ở cổ tử cung. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi đang cảm thấy đau rát khi quan hệ tình dục do mụn cóc ở vùng kín. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hay bị chảy máu khi chạm vào mụn cóc. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hiện đang có các triệu chứng như nổi mụn cóc ở miệng. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi đang cảm thấy lo lắng vì không biết loại mụn cóc mình đang mắc phải có nguy hiểm không. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hay bị nổi mụn cóc ở niêm mạc miệng và gây khó khăn khi ăn uống. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hiện đang có các triệu chứng như nổi mụn cóc ở mắt. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi đang cảm thấy tự ti vì các nốt mụn cóc làm mất thẩm mỹ. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hay bị lây lan mụn cóc sang người khác. Tôi có thể đang bị bệnh gì?,Dermatology,
HPV,Tôi hiện đang có các triệu chứng như nổi mụn cóc ở bộ phận sinh dục và lo lắng về nguy cơ ung thư. Tôi có thể đang bị bệnh gì?,Dermatology,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang bị khàn tiếng và mất tiếng, đôi khi có cảm giác vướng víu ở cổ họng. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi đang cảm thấy giọng nói bị thay đổi, khàn đặc và khó nói to. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hay bị khàn tiếng kéo dài, đặc biệt là sau khi nói nhiều hoặc hát karaoke. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang có các triệu chứng như khàn tiếng, mất tiếng và ho khan. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi đang cảm thấy giọng nói bị yếu đi, nói chuyện nhanh mệt và hay bị hụt hơi. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hay bị khàn tiếng tái đi tái lại nhiều lần, kèm theo đau rát họng. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang có các triệu chứng như khàn tiếng, mất tiếng và khó nuốt. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi đang cảm thấy giọng nói bị rè và khàn, đôi khi có cảm giác ngứa ngáy ở cổ họng. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hay bị khàn tiếng, mất tiếng sau khi tiếp xúc với bụi bẩn hoặc khói thuốc lá. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang có các triệu chứng như khàn tiếng, mất tiếng và ho có đờm. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi đang cảm thấy giọng nói bị biến đổi, nói chuyện không rõ ràng và hay bị lạc giọng. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hay bị khàn tiếng, mất tiếng sau khi sử dụng giọng nói quá mức. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang có các triệu chứng như khàn tiếng, mất tiếng và cảm giác căng cứng ở cổ. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,Tôi đang cảm thấy giọng nói bị yếu và hơi thở ngắn khi nói chuyện. Tôi có thể đang bị bệnh gì?,ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hay bị khàn tiếng, mất tiếng kèm theo các triệu chứng như ho, sốt và đau họng. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang có các triệu chứng như khàn tiếng, mất tiếng và cảm giác có dị vật ở cổ họng. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi đang cảm thấy giọng nói bị khàn đặc và nặng nề, khó khăn khi phát âm. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hay bị khàn tiếng, mất tiếng sau khi uống rượu bia hoặc đồ uống có cồn. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi hiện đang có các triệu chứng như khàn tiếng, mất tiếng và đau tức ngực. Tôi có thể đang bị bệnh gì?",ENT,
Hạt Xơ Dây Thanh Quảng,"Tôi đang cảm thấy giọng nói bị khàn và yếu đi, kèm theo sụt cân và mệt mỏi. Tôi có thể đang bị bệnh gì?",ENT,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như sưng hậu môn, cảm giác nóng rát và đau buốt khi đi vệ sinh. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn bị sưng, ngứa ngáy và có dịch tiết ra. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hay bị sưng hậu môn, kèm theo sốt và đau bụng dưới. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như hậu môn sưng to, đau rát và có máu khi đi vệ sinh. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn sưng và đau dữ dội, kèm theo tiết dịch mủ. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hay bị sưng hậu môn, cảm giác bỏng rát và khó chịu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như hậu môn sưng, đau và ngứa ngáy, đặc biệt là sau khi đi vệ sinh. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn sưng và đau, kèm theo cảm giác ấm nóng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hay bị sưng hậu môn, đau rát và có dịch nhầy. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như hậu môn sưng, đau và chảy máu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn sưng và đau, kèm theo sốt và ớn lạnh. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hay bị sưng hậu môn, ngứa ngáy và khó chịu, đặc biệt là vào ban đêm. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như hậu môn sưng, đau và khó đi đại tiện. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn sưng và đau, kèm theo tiết dịch có mùi hôi. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,Tôi hay bị sưng hậu môn sau khi quan hệ tình dục qua đường hậu môn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như hậu môn sưng và đau, kèm theo chảy máu khi đi đại tiện. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn sưng và đau, kèm theo tiêu chảy hoặc táo bón. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,Tôi hay bị sưng hậu môn sau khi ăn thức ăn cay hoặc uống rượu bia. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hậu Môn Bị Sưng,"Tôi hiện đang có các triệu chứng như hậu môn sưng, đau và ngứa ngáy, kèm theo nổi mụn nước hoặc vết loét. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hậu Môn Bị Sưng,"Tôi đang cảm thấy hậu môn sưng và đau, kèm theo sưng hạch bạch huyết ở vùng bẹn. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi hiện đang có các triệu chứng như đau bụng tái phát liên quan đến việc đi tiêu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,"Tôi đang cảm thấy đau bụng không có vị trí nhất định, đau dọc khung đại tràng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi hay bị đau bụng nhiều hơn sau khi ăn hoặc đôi khi chưa ăn xong đã có cảm giác đau. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi đang gặp tình trạng đau bụng thường vào buổi sáng và giảm đau sau đi tiêu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi thấy mình bị táo bón (đi tiêu < 3 lần/ tuần). Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,"Tôi hay bị tiêu chảy (đi tiêu >= 3 lần/ ngày), kèm theo phân nhầy mềm, lỏng nước. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hội Chứng Ruột Kích Thích,"Tôi đang cảm thấy chướng bụng, đầy hơi và chuột rút. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi thấy mình mệt mỏi và rối loạn giấc ngủ. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi hay bị trung tiện nhiều và cảm giác đi tiêu không hết phân. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi đang gặp tình trạng đau mỏi cơ. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi thấy mình sút cân ngoài ý muốn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi hay bị đau bụng và tiêu chảy về đêm. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi đang cảm thấy thiếu máu và sốt. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi thấy mình báng bụng và có tiền sử gia đình ung thư đại tràng/ bệnh viêm ruột mạn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,"Tôi hay bị đau bụng sau khi ăn thức ăn lạ, thức ăn để lâu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi đang cảm thấy đau bụng quặn từng cơn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi thấy mình thay đổi thói quen đi tiêu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi hay bị đầy hơi sau khi ăn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi đang cảm thấy khó chịu ở bụng và buồn nôn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Ruột Kích Thích,Tôi thấy mình căng thẳng và lo lắng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Hội Chứng Stevens Johnson,"Tôi hiện đang có các triệu chứng như nốt lở loét ở mắt, mũi, miệng, họng. Tôi có thể đang bị bệnh gì?",Dermatology,
Hội Chứng Stevens Johnson,"Tôi đang cảm thấy lở loét âm hộ, âm đạo kèm chảy máu. Tôi có thể đang bị bệnh gì?",Dermatology,
Hội Chứng Stevens Johnson,"Tôi hay bị rát, buốt khi đi tiểu và lở loét đường tiểu. Tôi có thể đang bị bệnh gì?",Dermatology,
Hội Chứng Stevens Johnson,"Tôi đang gặp tình trạng ban đỏ trên da, sốt và đau cơ. Tôi có thể đang bị bệnh gì?",Dermatology,
Hội Chứng Stevens Johnson,Tôi thấy da mình bong tróc và chảy nước dãi. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi hay bị sung huyết kết mạc. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi đang cảm thấy khó khăn khi ngậm miệng và nuốt. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi thấy xuất hiện các vết loét trên niêm mạc miệng. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi hay bị sốt cao và đau họng. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi đang gặp tình trạng mệt mỏi và sụt cân. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi thấy da mình nổi ban đỏ và ngứa. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi hay bị chảy nước mắt và nhạy cảm với ánh sáng. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi đang cảm thấy đau rát khi đi tiểu. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi thấy xuất hiện các vết loét trên bộ phận sinh dục. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi hay bị ho và khó thở. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi đang cảm thấy đau đầu và chóng mặt. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi thấy mí mắt sưng húp và khó mở mắt. Tôi có thể đang bị bệnh gì?,Dermatology,
Hội Chứng Stevens Johnson,Tôi hay bị buồn nôn và nôn. Tôi có thể đang bị bệnh gì?,Dermatology,
